videoId,videoTitle,channelTitle,commentId,parentCommentId,isReply,authorChannelId,authorDisplayName,text,publishedAt,likeCount,totalReplyCount,parentAuthorChannelId,parentAuthorDisplayName
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg,,False,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd,"Also, five stars for a streaming service that shows videos without ads or promotional content. That's right, I'm talking about Nebula. Get Nebula using my link for 40% off an annual subscription (and really help the channel!): https://go.nebula.tv/citynerd",2025-04-09T17:42:41Z,117,9,,
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAGhfJLPlleO,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UC6qnEKpWuztXrUYjh4m8_SA,@Arandomguy892,You should come back to Australia some time and visit the other main cities Brisbane and Gold Coast (Gold Coast is a rather new tourist city) then maybe Sydney and new castle newcastle has lots of really old suburbs and maybe Canberra as well again rather new city I'd love to see what you think of them as there lots of diversity and some similar vibes also very different ones just wanna see a more of a baseline for Australian cities compared to us cities,2025-04-09T19:05:43Z,6,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAGiWTSqktpK,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UCa9eTcNAkTw7TffALV-WQGA,@AMPProf,WOO,2025-04-10T02:58:57Z,1,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAGjBRDzZThp,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UCLCN6Ivqz9S0IVaFOI4fdpw,@OriginalPiMan,"@Arandomguy892 
He went to Sydney next; expect that in the next video.",2025-04-10T09:14:23Z,2,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAGtOJXImyV9,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UCfD3y_zXfIs6EG58z4TeONw,@gregessex1851,"They heard your rant “It seems Victoria's public transport payment system is finally ready to join the 21st century, after years of frustrated residents demanding that we ditch those pesky Myki cards for good. It's just been revealed that from next year, we'll be able to tap on a train, bus or tram with a bank card – catching up to many other major cities around the world. It's about bloody time. 

When the news of a trial kicking off for the new payment system came out late last year, we allowed ourselves to dream. But now, it seems our dreams really are coming true, as the Victorian government has announced that bank card tap ons will be rolled out across Victoria's public transport from the beginning of 2026. 


The new contactless payment system will allow passengers to tap on with a credit or debit card, as well as with Apple Pay on phones and smart watches. First, 20,000 new card readers will be installed across our state's train network, including metro and V/Line trains. Then, it will be extended to trams and buses. Initially, it'll only be useable for full fare passengers. 

It was first announced that the system would be getting an overhaul back in May 2023, as part of a plan to eventually phase out physical Myki cards. This was finally put into practice with a trial beginning in November 2024.”",2025-04-14T08:19:20Z,0,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAH4EUHUntiH,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UC5RJNAZfV31vmXb0q-62ImA,@wildedibles,Maybe you could find a grant that could allow a longer stay to make the more detailed transit and neighborhood video series they need.,2025-04-18T22:44:19Z,1,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAH5sblYDa8A,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UC_8n7fFdcvWenS21dYg1CIQ,@dee-smart,Melbourne isn't the only city with trams. Adelaide has them too. They also have a German bus called an O-bahn that works on roads and train tracks. Adelaide has a great reputation for livability too and this past year the Architects Digest called it the most gorgeous city in the world. Just thought I would bring that up.,2025-04-19T14:02:58Z,1,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAHcQF0f3zrN,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UCw4_q4WGc0rbI3hdz63v6dw,@alastairleith8612,"every time i look at Nebula I'm tempted by the introductory pricing but underwhelmed by the relative lack of content. and most of it is niche, great for the niches I like to follow, not so much the niches i dont have the time for.",2025-05-02T14:40:30Z,0,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAHcQUEkutRV,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UCw4_q4WGc0rbI3hdz63v6dw,@alastairleith8612,"@ ""gorgeous"" == ?
 liveable with C19th colonialist detailing?",2025-05-02T14:42:35Z,0,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,UgxfkT1LGxwdKM1oC0Z4AaABAg.AGhWoANCHSUAMiFQUeoLpk,UgxfkT1LGxwdKM1oC0Z4AaABAg,True,UCjWlpruqG1KRnFyGoXZgh_g,@duds9814,"As an Australian and a person who lives in Victoria.
 ( the state that Melbourne resides in ) hearing you say Melbourne properly was an absolute pleasure.  
Actually even the ""incorrect"" way you said it was still much better than what I hear most Americans say .",2025-09-06T03:38:22Z,0,0,UCfgtNfWCtsLKutY-BHzIb9Q,@CityNerd
